매장명,작성일,방문시간,동반자,고객반응_포인트,리뷰내용,감정분석,매장_TOP인기반응
달빛에구운고등어 파주심학산점,2026-04-10,,,"음식이 맛있어요, 양이 많아요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",리뷰 13 14 저녁에 방문 데이트연인・배우자 너무깔끔하고 맛있었습니다 ㅎㅎ 4.10.금,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-10,,,"음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요, 인테리어가 멋져요","리뷰 56 76 저녁에 방문 친목연인・배우자, 친구 밌있게 잘 먹었었습니다. 4.10.금",중립,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-10,,,"음식이 맛있어요, 양이 많아요, 매장이 넓어요, 단체모임 하기 좋아요",리뷰 16 17 점심에 방문 가족모임부모님 셀프바에 기본으로 나오는 메뉴양도 많아서 배부르게 먹을수있어요 4.10.금,중립,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-10,,,"음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 매장이 넓어요, 매장이 청결해요",리뷰 29 45 아침에 방문 데이트연인・배우자 맛있어요 생선구이도 겉바속촉~ 셀프바가 메뉴도 다양하고 다 맛있네요 추천합니다 접기 4.10.금,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-09,,,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 단체모임 하기 좋아요",리뷰 73 208 점심에 방문 일상연인・배우자 너무 맛있어서 세 번째 방문 합니다^^ 4.9.목,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-08,,점심에 방문  친목친구,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요",리뷰 507 35 반찻이 많고 맛있어요 생선이 촉촉하고 망나요 4.8.수,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-08,점심,,"음식이 맛있어요, 반찬이 잘 나와요, 재료가 신선해요, 인테리어가 멋져요, 주차하기 편해요","리뷰 1,234 2,638팔로워 53 반찬 대박입니다 최근에 다닌 음식점 중 셀프반찬 최고인듯하네요 얼마전에 계란찜 나오는 곳에 좋다고 했는데 여기는 계란말이가 있어요 평일점심특선 2,고등어조림 먹었어요 접기 4.8.수",긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,저녁에 방문  나들이아이,"음식이 맛있어요, 매장이 넓어요, 매장이 청결해요",리뷰 25 26 정말 맛있어요! 아이랑도 오기 좋습니다! 4.7.화,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,저녁에 방문  가족모임아이,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요",리뷰 8 20 와~~하고 감탄사가 절로 나와요 ㅎㅎㅎㅎㅎㅎ 진짜 심학산 근처 식당중에 최고에요!! 양도 엄청많고 무엇보다 한식파인 저는 모듬 음식이 한식인게 최고에요 ㅠㅠㅠㅠ짜지도않고 싱겁지않고 간도 딱이에요 진짜 베스트에요 ㅎㅎㅎㅎㅎ 집 근처라 일주일에 한번 올까 겁나네요 ㅎㅎㅎ 접기 4.7.화,부정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요",리뷰 9 9 저녁에 방문 친목지인・동료 뷔페식이고 애기랑 먹기 너무 좋아요: 자주올듯! 4.7.화,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
