매장순위(상품),,,,,,,,,
매장,대분류,중분류,상품코드,바코드,상품명,수량,총매출액,할인액,실매출액
달빛에구운고등어송천점,주류,주류,000001,,소주,193,"965,000",0,"965,000"
달빛에구운고등어송천점,주류,주류,000002,,맥주,71,"355,000",0,"355,000"
달빛에구운고등어송천점,주류,주류,000003,,막걸리,32,"96,000",0,"96,000"
달빛에구운고등어송천점,주류,주류,000004,,코카콜라,120,"300,000",0,"300,000"
달빛에구운고등어송천점,주류,주류,000005,,사이다,57,"142,500",0,"142,500"
달빛에구운고등어송천점,주류,주류,000006,,환타,9,"22,500",0,"22,500"
달빛에구운고등어송천점,주류,주류,000104,,제로콜라,35,"87,500",0,"87,500"
달빛에구운고등어송천점,생선구이,생선구이,000020,,삼치 1마리,136,"2,244,000",0,"2,244,000"
달빛에구운고등어송천점,생선구이,생선구이,000021,,임연수구이,118,"2,006,000",0,"2,006,000"
달빛에구운고등어송천점,생선구이,생선구이,000022,,갈치구이,400,"8,400,000",0,"8,400,000"
달빛에구운고등어송천점,생선구이,생선구이,000039,,보리굴비구이,57,"1,425,000",0,"1,425,000"
달빛에구운고등어송천점,생선구이,생선구이,000153,,뽈락구이,197,"3,349,000",0,"3,349,000"
달빛에구운고등어송천점,생선구이,생선구이,000421,,삼치 (반),2,"26,000",0,"26,000"
달빛에구운고등어송천점,식사류,식사류,000091,,고추장불고기,366,"5,124,000",0,"5,124,000"
달빛에구운고등어송천점,식사류,식사류,000167,,소뚝불고기,114,"1,767,000",0,"1,767,000"
달빛에구운고등어송천점,식사류,식사류,000170,,고등어조림,395,"5,530,000",0,"5,530,000"
달빛에구운고등어송천점,판매상품,판매상품,000032,,자색고구마,1,"4,000",0,"4,000"
달빛에구운고등어송천점,옵션,옵션,000024,,공기밥,343,"343,000",0,"343,000"
달빛에구운고등어송천점,옵션,옵션,000026,,선결재,6,0,0,0
달빛에구운고등어송천점,옵션,옵션,000049,,배달료,12,"36,000",0,"36,000"
달빛에구운고등어송천점,옵션,옵션,000051,,배달료,4,"8,000",0,"8,000"
달빛에구운고등어송천점,옵션,옵션,000053,,배달료,210,"840,000",0,"840,000"
달빛에구운고등어송천점,옵션,옵션,000070,,포장비,71,"35,500",0,"35,500"
달빛에구운고등어송천점,옵션,옵션,000155,,아이스홍시,33,"82,500",0,"82,500"
달빛에구운고등어송천점,옵션,옵션,000272,,백미새우장(6미),29,"145,000",0,"145,000"
달빛에구운고등어송천점,모듬,모듬,000105,,모듬구이 2인,385,"15,015,000",0,"15,015,000"
달빛에구운고등어송천점,모듬,모듬,000106,,모듬구이3인,324,"17,172,000",0,"17,172,000"
달빛에구운고등어송천점,모듬,모듬,000152,,모듬구이4인,137,"9,864,000",0,"9,864,000"
달빛에구운고등어송천점,티오더전용,티오더전용,000016,,t-고추장불고기,203,0,0,0
달빛에구운고등어송천점,티오더전용,티오더전용,000090,,t-고등어조림,131,0,0,0
달빛에구운고등어송천점,티오더전용,티오더전용,000175,,t-소뚝불고기,127,"190,500",0,"190,500"
달빛에구운고등어송천점,티오더전용,티오더전용,000328,,t-고등어반마리,25,"100,000",0,"100,000"
달빛에구운고등어송천점,하이오더전용,하이오더전용,000386,,고등어반마리,3,"18,000",0,"18,000"
달빛에구운고등어송천점,달빛고특선,달빛고특선,000381,,벌교꼬막비빔밥,231,"2,772,000",0,"2,772,000"
달빛에구운고등어송천점,달빛고특선,달빛고특선,000387,,달빛1인       (고/무침),584,"8,760,000",0,"8,760,000"
달빛에구운고등어송천점,달빛고특선,달빛고특선,000388,,보름2인      (고/삼/불),404,"12,928,000",0,"12,928,000"
달빛에구운고등어송천점,달빛고특선,달빛고특선,000418,,(점)달빛1인     (고/무침),987,"14,311,500",0,"14,311,500"
달빛에구운고등어송천점,어린이,어린이,000061,,어린이고등어,310,"3,100,000",0,"3,100,000"
달빛에구운고등어송천점,어린이,어린이,000244,,어린이스테이크,105,"1,155,000",0,"1,155,000"
달빛에구운고등어송천점,테이블오더x,테이블오더x,000434,,고등어 1 마리,"1,824","28,272,000",0,"28,272,000"
달빛에구운고등어송천점,테이블오더x,테이블오더x,000435,,양념고등어 1마리,157,"2,590,500",0,"2,590,500"
소계:달빛에구운고등어송천점,,,,,,"8,948","149,582,000",0,"149,582,000"
달빛에구운고등어전북도청점,주류,주류,000003,,막걸리,24,"96,000",0,"96,000"
달빛에구운고등어전북도청점,주류,주류,000004,,코카콜라,136,"340,000",0,"340,000"
달빛에구운고등어전북도청점,주류,주류,000005,,사이다,82,"205,000",0,"205,000"
달빛에구운고등어전북도청점,주류,주류,000006,,환타,81,"202,500",0,"202,500"
달빛에구운고등어전북도청점,주류,주류,000043,,참이슬,90,"450,000",0,"450,000"
달빛에구운고등어전북도청점,주류,주류,000045,,카스,47,"235,000",0,"235,000"
달빛에구운고등어전북도청점,주류,주류,000046,,테라,11,"55,000",0,"55,000"
달빛에구운고등어전북도청점,주류,주류,000073,,진로,28,"140,000",0,"140,000"
달빛에구운고등어전북도청점,주류,주류,000102,,처음처럼,30,"150,000",0,"150,000"
달빛에구운고등어전북도청점,주류,주류,000104,,제로콜라,140,"350,000",0,"350,000"
달빛에구운고등어전북도청점,생선구이,생선구이,000017,,고등어1마리,"1,958","30,358,500","48,000","30,310,500"
달빛에구운고등어전북도청점,생선구이,생선구이,000020,,삼치 1마리,289,"4,768,500","15,065","4,753,435"
달빛에구운고등어전북도청점,생선구이,생선구이,000021,,임연수구이,158,"2,686,000","16,250","2,669,750"
달빛에구운고등어전북도청점,생선구이,생선구이,000022,,갈치구이,321,"6,741,000","17,000","6,724,000"
달빛에구운고등어전북도청점,생선구이,생선구이,000039,,보리굴비구이,57,"1,425,000",0,"1,425,000"
