매장명,작성일,방문시간,동반자,고객반응_포인트,리뷰내용,감정분석,매장_TOP인기반응
달빛에구운고등어 만성점,2026-03-29,저녁,,양이 많아요,리뷰 188 212 다른 점 갈꺼 같아요 3.29.일,중립,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-03-27,,,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요",리뷰 644 891팔로워 64 저녁에 방문 데이트연인・배우자 고등어 한상차림은 뚠뚬해요~ 3.27.금,중립,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-02-01,,,재료가 신선해요,리뷰 718 287 저녁에 방문 일상지인・동료 고등어조림과 구이 맛있게 잘 먹었습니다~~^^ 2.1.일,긍정,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-02-01,,,음식이 맛있어요,"리뷰 1,544 354 점심에 방문 친목부모님, 친척・형제자매, 연인・배우자, 아이 맛있었어요. 2.1.일",긍정,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-01-25,,,"음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 친절해요","리뷰 28 38 저녁에 방문 일상연인・배우자, 아이 역시 맛있어요~ 자주 올께요^^ 1.25.일",긍정,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-01-24,,,"음식이 맛있어요, 매장이 넓어요",리뷰 125 197 점심에 방문 데이트연인・배우자 생선구이 맛있어요! 셀프바에 다양한 반찬들도 많아서 좋아요 1.24.토,긍정,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-01-22,,,"음식이 맛있어요, 매장이 넓어요, 주차하기 편해요",리뷰 25 29 점심에 방문 친목지인・동료 한번씩오는데 친절하고맛있어요. 주차도 바로앞 공터주차장있어서편합니다. 1.22.목,긍정,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-01-18,,,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요","리뷰 1,859 1,173팔로워 55 점심에 방문 가족모임연인・배우자, 아이, 부모님, 친척・형제자매 주말 점심에 이렇게 손님이 많을 줄 몰랐어요. 10분 기다리고 먹었지만 진짜 우리동네에서 최고 좋아하는 곳이예요. 멀리서 친척분들과 부모님 오셔서 모시고 갔는데 다들 식사 맛있게 하시고 좋아하셨답니다. 접기 1.18.일",긍정,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-01-15,저녁,,,"리뷰 1,001 620 1.15.목",중립,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-01-15,저녁,,음식이 맛있어요,"리뷰 1,513 1,287팔로워 43 꾸준히 찾게되는 매장 가격이 갈때마다 오르는기분 +포장비라니,,, 그래도 맛있어요 1.15.목",긍정,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
